"Wavelength","HOURS","sample_name","sample","blank","intensity_bl_corrected"
600,2.65527777777778,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.762,0.27,0.492
600,2.98888888888889,"PCA + DMR",0.398,0.415,-0.017
600,2.98888888888889,"PCA + DMR + Fumarate",0.346,0.37,-0.024
600,2.98888888888889,"PCA + medium + Fumarate",0.1,0.092,0.00800000000000001
600,2.98888888888889,"SD-1  DMR",0.764,0.409,0.355
600,2.98888888888889,"SD-1  DMR+ Ferric citrate",1.181,0.74,0.441
600,2.98888888888889,"SD-1  medium bicarb + Ferric Citrate",0.951,0.246,0.705
600,2.98888888888889,"SD-1  medium PIPES + Ferric Citrate",0.376,0.36,0.016
600,2.98888888888889,"SD-1  medium PIPES + Ferric Citrate + lactate",0.346,0.351,-0.005
600,2.98888888888889,"SD-1 Defined media + Acetate",0.205,0.196,0.00899999999999998
600,2.98888888888889,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.767,0.27,0.497
600,3.3225,"PCA + DMR",0.398,0.415,-0.017
600,3.3225,"PCA + DMR + Fumarate",0.346,0.37,-0.024
600,3.3225,"PCA + medium + Fumarate",0.1,0.093,0.00700000000000001
600,3.3225,"SD-1  DMR",0.765,0.409,0.356
600,3.3225,"SD-1  DMR+ Ferric citrate",1.184,0.722,0.462
600,3.3225,"SD-1  medium bicarb + Ferric Citrate",0.954,0.247,0.707
600,3.3225,"SD-1  medium PIPES + Ferric Citrate",0.375,0.358,0.017
600,3.3225,"SD-1  medium PIPES + Ferric Citrate + lactate",0.346,0.352,-0.00600000000000001
600,3.3225,"SD-1 Defined media + Acetate",0.202,0.2,0.002
600,3.3225,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.772,0.27,0.502
600,3.65611111111111,"PCA + DMR",0.398,0.414,-0.016
600,3.65611111111111,"PCA + DMR + Fumarate",0.346,0.37,-0.024
600,3.65611111111111,"PCA + medium + Fumarate",0.1,0.094,0.00600000000000001
600,3.65611111111111,"SD-1  DMR",0.768,0.408,0.36
600,3.65611111111111,"SD-1  DMR+ Ferric citrate",1.185,0.708,0.477
600,3.65611111111111,"SD-1  medium bicarb + Ferric Citrate",0.959,0.246,0.713
600,3.65611111111111,"SD-1  medium PIPES + Ferric Citrate",0.374,0.36,0.014
600,3.65611111111111,"SD-1  medium PIPES + Ferric Citrate + lactate",0.346,0.352,-0.00600000000000001
600,3.65611111111111,"SD-1 Defined media + Acetate",0.199,0.195,0.004
600,3.65611111111111,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.776,0.268,0.508
600,3.98972222222222,"PCA + DMR",0.398,0.414,-0.016
600,3.98972222222222,"PCA + DMR + Fumarate",0.346,0.37,-0.024
600,3.98972222222222,"PCA + medium + Fumarate",0.1,0.09,0.01
600,3.98972222222222,"SD-1  DMR",0.771,0.408,0.363
600,3.98972222222222,"SD-1  DMR+ Ferric citrate",1.184,0.699,0.485
600,3.98972222222222,"SD-1  medium bicarb + Ferric Citrate",0.962,0.245,0.717
600,3.98972222222222,"SD-1  medium PIPES + Ferric Citrate",0.374,0.359,0.015
600,3.98972222222222,"SD-1  medium PIPES + Ferric Citrate + lactate",0.343,0.352,-0.00899999999999995
600,3.98972222222222,"SD-1 Defined media + Acetate",0.197,0.194,0.003
600,3.98972222222222,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.78,0.269,0.511
600,4.32333333333333,"PCA + DMR",0.397,0.414,-0.017
600,4.32333333333333,"PCA + DMR + Fumarate",0.346,0.37,-0.024
600,4.32333333333333,"PCA + medium + Fumarate",0.1,0.089,0.011
600,4.32333333333333,"SD-1  DMR",0.774,0.408,0.366
600,4.32333333333333,"SD-1  DMR+ Ferric citrate",1.181,0.693,0.488
600,4.32333333333333,"SD-1  medium bicarb + Ferric Citrate",0.965,0.247,0.718
600,4.32333333333333,"SD-1  medium PIPES + Ferric Citrate",0.374,0.362,0.012
600,4.32333333333333,"SD-1  medium PIPES + Ferric Citrate + lactate",0.344,0.353,-0.00900000000000001
600,4.32333333333333,"SD-1 Defined media + Acetate",0.197,0.195,0.002
600,4.32333333333333,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.782,0.27,0.512
600,4.65694444444444,"PCA + DMR",0.397,0.414,-0.017
600,4.65694444444444,"PCA + DMR + Fumarate",0.346,0.37,-0.024
600,4.65694444444444,"PCA + medium + Fumarate",0.1,0.092,0.00800000000000001
600,4.65694444444444,"SD-1  DMR",0.776,0.408,0.368
